gene_id,gene_name,knockout_flux,baseline_flux,flux_ratio,growth_pct,impact,status,num_reactions,reactions
2720_AT1,GLB1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,SIAASEly;GALASE1ly
2879_AT1,GPX4,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,2,GTHPm;GTHPi
2876_AT2,GPX1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
7001_AT2,PRDX2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
7001_AT3,PRDX2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
2877_AT1,GPX2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,GTHPi
28231_AT1,SLCO4A1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,6,PROSTGE2t;ESTRADIOLGLCt;ESTRONESt;TRIODTHYt;THYOXt;TCHOLAt
226_AT1,ALDOA,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,FBA;FBA4;FBA2
230_AT1,ALDOC,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,FBA;FBA4;FBA2
1491_AT1,CTH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYSTGL
8714_AT1,ABCC3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,4,ESTRONEGLCt;CHOLATEt3;GCHOLAt3;TCHOLAt3
1491_AT2,CTH,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYSTGL
513_AT2,ATP5D,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
6554_AT1,SLC10A1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,4,ESTRONESt2;GCHOLAt2;TCHOLAt2;CHOLATEt2
6555_AT1,SLC10A2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,3,GCHOLAt2;TCHOLAt2;CHOLATEt2
514_AT2,ATP5E,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
1036_AT1,CDO1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYSO
498_AT1,ATP5A1,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
23428_AT2,SLC7A8,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYSGLYex_copy1
518_AT2,ATP5G3,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,ATPS4m
6579_AT1,SLCO1A2,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,8,PROSTGE2t;ESTRADIOLGLCt;ESTRONESt;TRIODTHYt;TCHOLAt;CHOLATEt;GCHOLAt;THYOXt
23428_AT1,SLC7A8,0.2814317775193228,0.2814317775193228,1.0,100.0,MINIMAL,optimal,1,CYSGLYex_copy1
